"var_name","idx","var_distr","param_name","var_id","distr","min","max","param_val"
"d_time_H_L",NA,"weibull","shape","d_time_H_L.shape","unif",1.49447360763811,2.36296543544278,1.9254635706873
"d_time_H_L",NA,"weibull","scale","d_time_H_L.scale","unif",77.6297060094175,127.400242753466,101.604861419414
"d_time_L_P",NA,"weibull","shape","d_time_L_P.shape","unif",1.09,4.52,NA
"d_time_L_P",NA,"weibull","scale","d_time_L_P.scale","unif",32.47,96.7,NA
"d_n_L",NA,"pois","lambda","d_n_L.lambda","unif",0.05,0.13,NA
"d_time_P1_P2",NA,"exp","rate","d_time_P1_P2.rate","unif",0.2,0.59,NA
"hr_cancer",1,NA,NA,"hr_cancer.1","unif",0.7,2,NA
"hr_cancer",2,NA,NA,"hr_cancer.2","unif",0.7,2,NA
"hr_cancer",3,NA,NA,"hr_cancer.3","unif",0.7,2,NA
"hr_cancer",4,NA,NA,"hr_cancer.4","unif",0.7,2,NA
"diff_p_cancer",1,NA,NA,"diff_p_cancer.1","unif",-0.05,0.03,NA
"diff_p_cancer",2,NA,NA,"diff_p_cancer.2","unif",-0.03,0.03,NA
"diff_p_cancer",3,NA,NA,"diff_p_cancer.3","unif",-0.03,0.03,NA
